zip3,destination,scf
933,BAKERSFIELD CA 933U,SCF BAKERSFIELD CA 932
934,SANTA BARBARA CA 934,SCF SANTA BARBARA CA 931
935,MOJAVE CA 935,MOJAVE CA 935D
936,FRESNO CA 936,SCF FRESNO CA 936
937,FRESNO CA 937U,SCF FRESNO CA 936
938,FRESNO CA 938,SCF FRESNO CA 936
939,SALINAS CA 939,SALINAS CA 939D
940,SAN FRANCISCO CA 940,SCF SAN FRANCISCO CA 940
941,SAN FRANCISCO CA 941U,SCF SAN FRANCISCO CA 940
942,SACRAMENTO CA 942U,SCF SACRAMENTO CA 956
943,PALO ALTO CA 943U,SCF SAN FRANCISCO CA 940
944,SAN MATEO CA 944U,SCF SAN FRANCISCO CA 940
945,OAKLAND CA 945,SCF OAKLAND CA 945
946,OAKLAND CA 946U,SCF OAKLAND CA 945
947,BERKELEY CA 947U,SCF OAKLAND CA 945
948,RICHMOND CA 948U,SCF OAKLAND CA 945
949,NORTH BAY CA 949,SCF NORTH BAY CA 949
950,SAN JOSE CA 950,SCF SAN JOSE CA 950
951,SAN JOSE CA 951U,SCF SAN JOSE CA 950
952,STOCKTON CA 952,SCF STOCKTON CA 952
953,STOCKTON CA 953,SCF STOCKTON CA 952
954,NORTH BAY CA 954,SCF NORTH BAY CA 949
955,EUREKA CA 955,EUREKA CA 955D
956,SACRAMENTO CA 956,SCF SACRAMENTO CA 956
957,SACRAMENTO CA 957,SCF SACRAMENTO CA 956
958,SACRAMENTO CA 958U,SCF SACRAMENTO CA 956
959,MARYSVILLE CA 959,MARYSVILLE CA 959D
960,REDDING CA 960,REDDING CA 960D
961,RENO NV 961,SCF RENO NV 894
967,HONOLULU HI 967,SCF HONOLULU HI 967
968,HONOLULU HI 968U,SCF HONOLULU HI 967
970,PORTLAND OR 970,SCF PORTLAND OR 970
971,PORTLAND OR 971,SCF PORTLAND OR 970
972,PORTLAND OR 972U,SCF PORTLAND OR 970
973,SALEM OR 973,SALEM OR 973D
974,EUGENE OR 974,EUGENE OR 974D
975,MEDFORD OR 975,MEDFORD OR 975D
976,KLAMATH FALLS OR 976,KLAMATH FALLS OR 976D
977,BEND OR 977,BEND OR 977D
978,PENDLETON OR 978,PENDLETON OR 978D
979,BOISE ID 979,SCF BOISE ID 836
980,SEATTLE WA 980,SCF SEATTLE WA 980
981,SEATTLE WA 981U,SCF SEATTLE WA 980
982,EVERETT WA 982,EVERETT WA 982D
983,TACOMA WA 983,SCF TACOMA WA 983
984,TACOMA WA 984U,SCF TACOMA WA 983
985,OLYMPIA WA 985,OLYMPIA WA 985D
986,PORTLAND OR 986,SCF PORTLAND OR 970
987,WENATCHEE WA 988,WENATCHEE WA 988D
988,WENATCHEE WA 988,WENATCHEE WA 988D
989,YAKIMA WA 989,YAKIMA WA 989D
990,SPOKANE WA 990,SCF SPOKANE WA 990
991,SPOKANE WA 991,SCF SPOKANE WA 990
992,SPOKANE WA 992U,SCF SPOKANE WA 990
993,PASCO WA 993,PASCO WA 993D
994,LEWISTON ID 994,SCF LEWISTON ID 835
995,ANCHORAGE AK 995,SCF ANCHORAGE AK 995
996,ANCHORAGE AK 996,SCF ANCHORAGE AK 995
997,FAIRBANKS AK 997,FAIRBANKS AK 997D
998,JUNEAU AK 998,JUNEAU AK 998D
999,KETCHIKAN AK 999,KETCHIKAN AK 999D
